Date	What's labeled? T/RT	Tweet_ID	Type	Our Categorization: F(1) V(0)
May 25	T	1265255835124539392	F	1
May 25	T	1265255845358645254	F	1
May 29	T	1266231100780744704	V	0
Jun 5	RT	1269086797226815490	F	-
Jun 18	T	1273770669214490626	F	1
Jun 23	T	1275409656488382465	V	0
Aug 23	T	1297495295266357248	V	0
Sep 3	T	1301528521752354816	V	0
Sep 3	T	1301528522582786049	V	0
Sep 12	T	1304769412759724033	V	0
Sep 17	T	1306559853683445760	F	1
Sep 17	T	1306562791894122504	F	1
Sep 17	T	1306657377823993857	F	1
Sep 17	T	1306749921173762049	F	1
Sep 25	T	1309455713882828802	F	1
Sep 28	T	1310585397630689280	F	1
Oct 6	T	1313449844413992961	V	0
Oct 7	T	1313848232716521473	F	1
Oct 11	T	1315316071243476997	V	0
Oct 26	T	1320873664296804354	F&V	0
Nov 2	T	1323430341512622080	F&V	0
Nov 4	T	1323864823680126977	F&V	0
Nov 4	T	1324004491612618752	F&V	0
Nov 4	RT	1324012341458075648	V	0
Nov 4	T	1324033983882166272	F&V	0
Nov 4	T	1324108200141082624	F	1
Nov 4	T	1324108206801563650	F&V	0
Nov 5	T	1324368202139357186	F&V	0
Nov 5	T	1324386685858287616	F&V	0
Nov 5	T	1324401527663058944	F&V	0
Nov 5	T	1324541519873847296	F&V	0
Nov 5	T	1324541695577436161	F&V	0
Nov 5	T	1324541720583905286	F&V	0
Nov 6	T	1324613181466173440	F&V	0
Nov 6	RT	1324927258679767042	F	-
Nov 7	T	1325065540390559745	F&V	0
Nov 7	T	1325065546342264834	F&V	0
Nov 7	T	1325065549559291910	F&V	0
Nov 7	T	1325067488695099397	F&V	0
Nov 7	T	1325099845045071873	F	1
Nov 7	T	1325194709443080192	F	1
Nov 8	T	1325432465415163904	F	1
Nov 8	T	1325432469043236868	F	1
Nov 8	T	1325432472985808897	F	1
Nov 8	T	1325432476215500800	F	1
Nov 8	T	1325442336957018112	F	1
Nov 8	T	1325442345396039680	F	1
Nov 8	T	1325563462433509376	F	1
Nov 8	T	1325594474110726150	F	1
Nov 8	T	1325594813522190343	F	1
Nov 8	T	1325653065849073664	F	1
Nov 9	T	1325889532840062976	F	1
Nov 9	T	1325895380983275524	F	1
Nov 9	T	1325956184613019648	F	1
Nov 9	T	1325966661942435841	F	1
Nov 9	T	1325967220757966852	F	1
Nov 9	T	1325967327611981829	F	1
Nov 10	T	1326186126709821440	F	1
Nov 10	T	1326186297157963777	F	1
Nov 10	T	1326315284169445376	F	1
Nov 10	T	1326327582074220544	F	1
Nov 10	T&RT	1326347841476890627	F	1
Nov 10	T	1326348976531136513	F	1
Nov 10	T	1326353226749386757	F	1
Nov 11	T	1326525851752656898	F	1
Nov 11	T	1326630618831130624	F	1
Nov 11	T	1326679385966047236	F	1
Nov 11	RT	1326711675165270017	F	-
Nov 11	T	1326740844427304960	F	1
Nov 12	T	1326875863657361409	F	1
Nov 12	RT	1326894138516774913	F	-
Nov 12	T&RT	1326906607154900998	F	1
Nov 12	T	1326926226888544256	F	1
Nov 12	T	1327095398712946695	F	1
Nov 12	T&RT	1327103335195938817	F	1
Nov 13	T	1327279929319432200	F	1
Nov 13	T	1327319294057848832	F	1
Nov 13	T	1327350069947936768	F	1
Nov 13	T	1327407964404260870	F	1
Nov 13	T	1327413534901350400	F	1
Nov 13	T	1327438487537246210	F	1
Nov 14	T	1327481814013906944	F	1
Nov 14	T	1327619653020110850	F	1
Nov 14	T	1327619654592892931	F	1
Nov 14	T	1327704841964183552	F	1
Nov 14	T	1327708998662025216	F	1
Nov 14	T	1327715767916392449	F	1
Nov 14	T	1327716728558772226	F	1
Nov 14	T	1327717223142731779	F	1
Nov 14	T	1327717286778638340	F	1
Nov 14	T	1327750127679889409	F	1
Nov 15	T&RT	1327956491056279552	F	1
Nov 15	T	1327958640309972992	F	1
Nov 15	T	1327960545929072645	F	1
Nov 15	T	1327978710809661440	F	1
Nov 15	T	1327979630477922304	F	1
Nov 15	T	1328093294782509060	F	1
Nov 15	T	1328152465016020993	F	1
Nov 15	T	1328152466752491526	F	1
Nov 15	T	1328200072987893762	F	1
Nov 16	T	1328328547598000130	F	1
