Date	What's labeled? T/RT	Tweet_ID	Type	Our Categorization: F(1) V(0)
May 25	T	1.26525583512454E+018	F	1
May 25	T	1.26525584535865E+018	F	1
May 29	T	1.26623110078074E+018	V	0
Jun 5	RT	1.26908679722682E+018	F	-
Jun 18	T	1.27377066921449E+018	F	1
Jun 23	T	1.27540965648838E+018	V	0
Aug 23	T	1.29749529526636E+018	V	0
Sep 3	T	1.30152852175236E+018	V	0
Sep 3	T	1.30152852258279E+018	V	0
Sep 12	T	1.30476941275972E+018	V	0
Sep 17	T	1.30655985368345E+018	F	1
Sep 17	T	1.30656279189412E+018	F	1
Sep 17	T	1.30665737782399E+018	F	1
Sep 17	T	1.30674992117376E+018	F	1
Sep 25	T	1.30945571388283E+018	F	1
Sep 28	T	1.31058539763069E+018	F	1
Oct 6	T	1.31344984441399E+018	V	0
Oct 7	T	1.31384823271652E+018	F	1
Oct 11	T	1.31531607124348E+018	V	0
Oct 26	T	1.3208736642968E+018	F&V	0
Nov 2	T	1.32343034151262E+018	F&V	0
Nov 4	T	1.32386482368013E+018	F&V	0
Nov 4	T	1.32400449161262E+018	F&V	0
Nov 4	RT	1.32401234145808E+018	V	0
Nov 4	T	1.32403398388217E+018	F&V	0
Nov 4	T	1.32410820014108E+018	F	1
Nov 4	T	1.32410820680156E+018	F&V	0
Nov 5	T	1.32436820213936E+018	F&V	0
Nov 5	T	1.32438668585829E+018	F&V	0
Nov 5	T	1.32440152766306E+018	F&V	0
Nov 5	T	1.32454151987385E+018	F&V	0
Nov 5	T	1.32454169557744E+018	F&V	0
Nov 5	T	1.32454172058391E+018	F&V	0
Nov 6	T	1.32461318146617E+018	F&V	0
Nov 6	RT	1.32492725867977E+018	F	-
Nov 7	T	1.32506554039056E+018	F&V	0
Nov 7	T	1.32506554634227E+018	F&V	0
Nov 7	T	1.32506554955929E+018	F&V	0
Nov 7	T	1.3250674886951E+018	F&V	0
Nov 7	T	1.32509984504507E+018	F	1
Nov 7	T	1.32519470944308E+018	F	1
Nov 8	T	1.32543246541516E+018	F	1
Nov 8	T	1.32543246904324E+018	F	1
Nov 8	T	1.32543247298581E+018	F	1
Nov 8	T	1.3254324762155E+018	F	1
Nov 8	T	1.32544233695702E+018	F	1
Nov 8	T	1.32544234539604E+018	F	1
Nov 8	T	1.32556346243351E+018	F	1
Nov 8	T	1.32559447411073E+018	F	1
Nov 8	T	1.32559481352219E+018	F	1
Nov 8	T	1.32565306584907E+018	F	1
Nov 9	T	1.32588953284006E+018	F	1
Nov 9	T	1.32589538098328E+018	F	1
Nov 9	T	1.32595618461302E+018	F	1
Nov 9	T	1.32596666194244E+018	F	1
Nov 9	T	1.32596722075797E+018	F	1
Nov 9	T	1.32596732761198E+018	F	1
Nov 10	T	1.32618612670982E+018	F	1
Nov 10	T	1.32618629715796E+018	F	1
Nov 10	T	1.32631528416945E+018	F	1
Nov 10	T	1.32632758207422E+018	F	1
Nov 10	T&RT	1.32634784147689E+018	F	1
Nov 10	T	1.32634897653114E+018	F	1
Nov 10	T	1.32635322674939E+018	F	1
Nov 11	T	1.32652585175266E+018	F	1
Nov 11	T	1.32663061883113E+018	F	1
Nov 11	T	1.32667938596605E+018	F	1
Nov 11	RT	1.32671167516527E+018	F	-
Nov 11	T	1.3267408444273E+018	F	1
Nov 12	T	1.32687586365736E+018	F	1
Nov 12	RT	1.32689413851677E+018	F	-
Nov 12	T&RT	1.3269066071549E+018	F	1
Nov 12	T	1.32692622688854E+018	F	1
Nov 12	T	1.32709539871295E+018	F	1
Nov 12	T&RT	1.32710333519594E+018	F	1
Nov 13	T	1.32727992931943E+018	F	1
Nov 13	T	1.32731929405785E+018	F	1
Nov 13	T	1.32735006994794E+018	F	1
Nov 13	T	1.32740796440426E+018	F	1
Nov 13	T	1.32741353490135E+018	F	1
Nov 13	T	1.32743848753725E+018	F	1
Nov 14	T	1.32748181401391E+018	F	1
Nov 14	T	1.32761965302011E+018	F	1
Nov 14	T	1.32761965459289E+018	F	1
Nov 14	T	1.32770484196418E+018	F	1
Nov 14	T	1.32770899866203E+018	F	1
Nov 14	T	1.32771576791639E+018	F	1
Nov 14	T	1.32771672855877E+018	F	1
Nov 14	T	1.32771722314273E+018	F	1
Nov 14	T	1.32771728677864E+018	F	1
Nov 14	T	1.32775012767989E+018	F	1
Nov 15	T&RT	1.32795649105628E+018	F	1
Nov 15	T	1.32795864030997E+018	F	1
Nov 15	T	1.32796054592907E+018	F	1
Nov 15	T	1.32797871080966E+018	F	1
Nov 15	T	1.32797963047792E+018	F	1
Nov 15	T	1.32809329478251E+018	F	1
Nov 15	T	1.32815246501602E+018	F	1
Nov 15	T	1.32815246675249E+018	F	1
Nov 15	T	1.32820007298789E+018	F	1
Nov 16	T	1.328328547598E+018	F	1
Nov 16	T	1.32833494514895E+018	F	1
Nov 16	T	1.32833824128462E+018	F	1
Nov 16	T	1.32836145149766E+018	F	1
Nov 16	T	1.32838228733186E+018	F	1
Nov 16	T	1.32844853050416E+018	F	1
Nov 17	T	1.32883038142929E+018	F	1
Nov 17	T	1.32885235278748E+018	F	1
Nov 17	T	1.32885235404996E+018	F	1
Nov 17	T	1.32885693201117E+018	F	1
Nov 18	T	1.32905468344128E+018	F	1
Nov 18	T	1.32906056244207E+018	F	1
Nov 18	T	1.32906478714217E+018	F	1
Nov 18	T	1.32906594516018E+018	F	1
Nov 18	T	1.32906981419587E+018	F	1
Nov 18	T	1.32907548755397E+018	F	1
Nov 18	T	1.32908654809301E+018	F	1
Nov 18	T	1.32908725516871E+018	F	1
Nov 18	T	1.3290931262382E+018	F	1
Nov 19	T	1.3292986684035E+018	F	1
Nov 19	T	1.32940162676394E+018	F	1
Nov 19	T	1.32940568270625E+018	F	1
Nov 19	T	1.32942413416669E+018	F	1
Nov 19	T	1.32945999589376E+018	F	1
Nov 19	T	1.32947814960904E+018	F	1
Nov 19	T	1.32952142957505E+018	F	1
Nov 20	T&RT	1.32976001531446E+018	F	1
Nov 20	T	1.32976112540421E+018	F	1
Nov 20	T	1.32978046766356E+018	F	1
Nov 20	T	1.32978481225789E+018	F	1
Nov 20	T	1.32987177570711E+018	F	1
Nov 20	T	1.32987177688993E+018	F	1
Nov 20	T	1.32996323917056E+018	F	1
Nov 20	T	1.32996329685485E+018	F	1
Nov 20	T	1.32996357125034E+018	F	1
Nov 21	T	1.33013726768019E+018	F	1
Nov 21	T	1.3301377410787E+018	F	1
Nov 21	T	1.33024826865636E+018	F	1
Nov 21	T	1.33025985666265E+018	F	1
Nov 21	T	1.33031974866042E+018	F	1
Nov 21	T	1.33032358917066E+018	F	1
Nov 21	T	1.33032542566763E+018	F	1
Nov 21	T	1.33032762014847E+018	F	1
Nov 21	T	1.33035172455344E+018	F	1
Nov 21	T	1.33035180250878E+018	F	1
Nov 21	T	1.33036798862159E+018	F	1
Nov 21	T	1.33036820696864E+018	F	1
Nov 21	T	1.33036844855217E+018	F	1
Nov 21	T	1.33037402061376E+018	F	1
Nov 22	T	1.33055564521348E+018	F	1
Nov 22	T	1.3307322890185E+018	F	1
Nov 22	T	1.33073714179468E+018	F	1
Nov 23	T	1.33105751709549E+018	F	1
Nov 23	T	1.33108696918362E+018	F	1
Nov 23	T	1.33121424795574E+018	F	1
Nov 24	RT	1.33121853489096E+018	F	-
Nov 24	RT	1.33121931211225E+018	F	-
Nov 24	T	1.33122540435137E+018	F	1
Nov 24	T	1.33139381272857E+018	F	1
Nov 24	RT	1.32988644044914E+018	F	-
Nov 24	RT	1.33139399095705E+018	F	-
Nov 24	RT	1.33139017862423E+018	F	-
Nov 24	RT	1.3312490320066E+018	F	-
Nov 24	RT	1.32905347365725E+018	F	-
Nov 24	RT	1.33131567932109E+018	F	-
Nov 24	RT	1.33121424795574E+018	F	-
Nov 24	RT	1.33112744160415E+018	F	1
Nov 25	T	1.33165515449245E+018	F	1
Nov 25	RT	1.3316806825785E+018	F	-
Nov 25	T	1.3316844377053E+018	F	1
Nov 25	T&RT	1.33169528823133E+018	F	1
Nov 25	T	1.33173881685667E+018	F	1
Nov 25	T	1.33175003777751E+018	F	1
Nov 25	RT	1.33060600229992E+018	F	-
Nov 25	T	1.33175145390874E+018	F	1
Nov 25	RT	1.33170745230423E+018	F	-
Nov 25	T	1.3317611311201E+018	F	1
Nov 25	RT	1.33175305802452E+018	F	-
Nov 25	T	1.33198717170051E+018	F	1
Nov 25	RT	1.33175305802452E+018	F	-
				136
